NAME,FullAddress,Geocodes,ADDRESS,COUNTY,CITY,STATE,ZIP,WEBSITE
Anchorage School District,5530 E NORTHERN LIGHTS BLVD BONIFACE EDUCATION CENTER Anchorage ANCHORAGE AK 99695,,5530 E NORTHERN LIGHTS BLVD BONIFACE EDUCATION CENTER,Anchorage,ANCHORAGE,AK,99695,http://www.asd.k12.ak.us
Anchorage School District,PO Box 92109 Anchorage Anchorage AK 99509-2109,,PO Box 92109,Anchorage,Anchorage,AK,99509-2109,http://www.asd.k12.ak.us
Fairbanks North Star Borough Schools,520 5th Ave Fairbanks North Star Fairbanks AK 99701-4718,,520 5th Ave,Fairbanks North Star,Fairbanks,AK,99701-4718,http://www.k12northstar.org
Saint Mary's City High School,PO BOX 9 Wade Hampton SAINT MARYS AK 99658-0009,,PO BOX 9,Wade Hampton,SAINT MARYS,AK,99658-0009,
Ketchikan Gateway Borough School District,333 Schoenbar Rd Ketchikan Gateway Ketchikan AK 99901-6278,,333 Schoenbar Rd,Ketchikan Gateway,Ketchikan,AK,99901-6278,http://www.kgbsd.org
Highland Tech High School,5530 E NORTHERN LIGHTS BLVD Anchorage ANCHORAGE AK 99504,,5530 E NORTHERN LIGHTS BLVD,Anchorage,ANCHORAGE,AK,99504,
Holy Cross School,2627 LORE RD Anchorage ANCHORAGE AK 99507-5722,,2627 LORE RD,Anchorage,ANCHORAGE,AK,99507-5722,
Anchorage School District,5530 E NORTHERN LIGHTS BLVD Anchorage ANCHORAGE AK 99504,,5530 E NORTHERN LIGHTS BLVD,Anchorage,ANCHORAGE,AK,99504,http://www.asd.k12.ak.us
Anchorage School District,1400 E NORTHERN LIGHTS BLVD Anchorage ANCHORAGE AK 99508,,1400 E NORTHERN LIGHTS BLVD,Anchorage,ANCHORAGE,AK,99508,http://www.asd.k12.ak.us
Lower Kuskokwim Schools,PO BOX 305 Bethel BETHEL AK 99559-0305,,PO BOX 305,Bethel,BETHEL,AK,99559-0305,http://www.lksd.org
Southeast Island School District,PO Box 19569 Prince Wales Hyder Thorne Bay AK 99919-0569,,PO Box 19569,Prince Wales Hyder,Thorne Bay,AK,99919-0569,http://www.sisd.org
YUKON KOYUKUK SCHOOL DISTRICT,4762 Old Airport Way Fairbanks North Star Fairbanks AK 99709,,4762 Old Airport Way,Fairbanks North Star,Fairbanks,AK,99709,
Lake & Peninsula School District,PO BOX 498 Lake and Peninsula KING SALMON AK 99613-0498,,PO BOX 498,Lake and Peninsula,KING SALMON,AK,99613-0498,http://www.lpsd.com
Sitka School District,300 KOSTROMETINOFF ST Sitka SITKA AK 99835-7056,,300 KOSTROMETINOFF ST,Sitka,SITKA,AK,99835-7056,
Alaska School Activities Association,5530 E Northern Lights Blvd  Anchorage AK 99504,,5530 E Northern Lights Blvd,,Anchorage,AK,99504,http://www.asaa.org
Anchorage School District,4600 DEBARR AVENUE  ANCHORAGE AK 99519,,4600 DEBARR AVENUE,,ANCHORAGE,AK,99519,http://www.asd.k12.ak.us
Alaska School Activities Association,520 5th Ave  Fairbanks AK 99701,,520 5th Ave,,Fairbanks,AK,99701,http://www.asaa.org
Anchorage School District,5530 E NORTHERN LIGHTS BLVD  ANCHORAGE AK 99504,,5530 E NORTHERN LIGHTS BLVD,,ANCHORAGE,AK,99504,http://www.asd.k12.ak.us
Unalaska City School District,P.O. BOX 570 55 East Broadway  Unalaska AK 99685,,P.O. BOX 570 55 East Broadway,,Unalaska,AK,99685,http://www.ucsd.net
Lake & Peninsula School District,Lake And Peninsula School District P.O Box 498  King Salmon AK 99613,,Lake And Peninsula School District P.O Box 498,,King Salmon,AK,99613,http://www.lpsd.com
Pacific Northern Academy,550 BRAGAW STREET  ANCHORAGE AK 99508,,550 BRAGAW STREET,,ANCHORAGE,AK,99508,http://www.pacificnorthern.org
Ketchikan High School,Mailing: 333 Schoenbar Road 2610 Fourth Ave.  Ketchikan AK 99901,,Mailing: 333 Schoenbar Road 2610 Fourth Ave.,,Ketchikan,AK,99901,http://www.ketchikanak.areaguides.net
Lower Yukon School District,PO Box 5090  Pilot Station AK 99650-0090,,PO Box 5090,,Pilot Station,AK,99650-0090,http://www.lysd.net
DANVILLE MIDDLE SCHOOL,5933 HIGHWAY 36 W Morgan DANVILLE AL 35619,,5933 HIGHWAY 36 W,Morgan,DANVILLE,AL,35619,
FRANCES NUNGESTER ELEMENTARY,726 TAMMY ST SW Morgan DECATUR AL 35603,,726 TAMMY ST SW,Morgan,DECATUR,AL,35603,
Westbrook Christian School,100 WESTMINSTER DR. Etowah RAINBOW CITY AL 35906,,100 WESTMINSTER DR.,Etowah,RAINBOW CITY,AL,35906,http://www.westbrookchristian.org
Dale County High School,PO BOX 948 Dale OZARK AL 36361-0948,,PO BOX 948,Dale,OZARK,AL,36361-0948,http://www.dalecountyhighschool.com
Greenwood Christian Academy,204 PRIDE LN Morgan DECATUR AL 35603-1608,,204 PRIDE LN,Morgan,DECATUR,AL,35603-1608,http://www.gcak12.org
Julian-harris Elementary Schl,1922 MCAULIFFE DR SW Morgan DECATUR AL 35603-1051,,1922 MCAULIFFE DR SW,Morgan,DECATUR,AL,35603-1051,
Dale County High School,PO BOX 1140 Dale MIDLAND CITY AL 36350-1140,,PO BOX 1140,Dale,MIDLAND CITY,AL,36350-1140,http://www.dalecountyhighschool.com
Linden High School,PO BOX 480609 Marengo LINDEN AL 36748-0609,,PO BOX 480609,Marengo,LINDEN,AL,36748-0609,
St. Bede School,3840 Atlanta Hwy Montgomery Montgomery AL 36109-3626,,3840 Atlanta Hwy,Montgomery,Montgomery,AL,36109-3626,http://www.stbede.org
Westbrook Christian School,100 WESTMINSTER DR Etowah RAINBOW CITY AL 35906,,100 WESTMINSTER DR,Etowah,RAINBOW CITY,AL,35906,http://www.westbrookchristian.org
First Baptist Church,724 4TH STREET Jefferson PLEASANT GROVE AL 35127,,724 4TH STREET,Jefferson,PLEASANT GROVE,AL,35127,http://www.wcolumbiafirstbaptist.org
Edgewood Academy School,5475 ELMORE RD Elmore Elmore AL 36025-1610,,5475 ELMORE RD,Elmore,Elmore,AL,36025-1610,
Mountain View-Whisman School District,2257 MONTGOMERY HWY Houston DOTHAN AL 36303-3257,,2257 MONTGOMERY HWY,Houston,DOTHAN,AL,36303-3257,http://www.mvwsd.org
Whitesburg Baptist Church,6806 WHITESBURG DR S Madison HUNTSVILLE AL 35802-2250,,6806 WHITESBURG DR S,Madison,HUNTSVILLE,AL,35802-2250,http://www.wbccares.org
Lawrence County School District,99 COUNTY ROAD 370 Morgan TRINITY AL 35673,,99 COUNTY ROAD 370,Morgan,TRINITY,AL,35673,
Morgan County Schools,20 SCHOOL RD Morgan EVA AL 35621-8950,,20 SCHOOL RD,Morgan,EVA,AL,35621-8950,http://www.morganschools.net
Christian School of Grace Baptist Church,210 GOOD HOPE SCHOOL RD Cullman Cullman AL 35057-0120,,210 GOOD HOPE SCHOOL RD,Cullman,Cullman,AL,35057-0120,http://www.gracebaptistchristianschool.org
Christ The King Catholic School,1503 MAIN STREET PO DRAWER 1890 Baldwin DAPHNE AL 36526,,1503 MAIN STREET PO DRAWER 1890,Baldwin,DAPHNE,AL,36526,
Children's Health System,1600 7TH AVE S Jefferson BIRMINGHAM AL 35233-1711,,1600 7TH AVE S,Jefferson,BIRMINGHAM,AL,35233-1711,http://www.chsys.org
Morgan County Schools,1325 POINT MALLARD PKWY Morgan DECATUR AL 35601-6542,,1325 POINT MALLARD PKWY,Morgan,DECATUR,AL,35601-6542,http://www.morganschools.net
St. Paul,161 Dogwood Lane Mobile Mobile AL 36608,,161 Dogwood Lane,Mobile,Mobile,AL,36608,http://www.stpaulsmobile.net
Lawrence County School District,6559 COUNTY ROAD 81 Morgan DANVILLE AL 35619-8308,,6559 COUNTY ROAD 81,Morgan,DANVILLE,AL,35619-8308,
Boston Public Schools,719 HIGHWAY 72 W Colbert TUSCUMBIA AL 35674-8713,,719 HIGHWAY 72 W,Colbert,TUSCUMBIA,AL,35674-8713,http://www.boston.k12.ma.us
Cullman City Schools,301 1ST ST NE STE 100 Cullman CULLMAN AL 35055-3549,,301 1ST ST NE STE 100,Cullman,CULLMAN,AL,35055-3549,http://www.cullmancats.net
Caldwell School District,3421 SIERRA DR Jefferson BIRMINGHAM AL 35216-5505,,3421 SIERRA DR,Jefferson,BIRMINGHAM,AL,35216-5505,http://www.caldwellschools.org
Cullman City Schools,301 First Street NE Suite 100 Cullman Cullman AL 35055,,301 First Street NE Suite 100,Cullman,Cullman,AL,35055,http://www.cullmancats.net
CORNERSTONE CHRISTIAN SCHOOL,3211 SPRING AVE SW Morgan DECATUR AL 35603,,3211 SPRING AVE SW,Morgan,DECATUR,AL,35603,
Morgan County Schools,261 S GREENWAY DR Morgan Trinity AL 35673-6002,,261 S GREENWAY DR,Morgan,Trinity,AL,35673-6002,http://www.morganschools.net
Montessori Regional Charter School,803 RAINBOW DR Etowah GADSDEN AL 35901-5307,,803 RAINBOW DR,Etowah,GADSDEN,AL,35901-5307,http://www.mrcserie.org
Tuscaloosa County Schools,12500 WILDCAT DR Tuscaloosa NORTHPORT AL 35475-4461,,12500 WILDCAT DR,Tuscaloosa,NORTHPORT,AL,35475-4461,http://www.tuscaloosa.tcs.schoolinsites.com
West Point High School,402 ARNOLD ST NE Cullman CULLMAN AL 35055-1920,,402 ARNOLD ST NE,Cullman,CULLMAN,AL,35055-1920,http://www.ccboe.org
Decatur City Schools,408 BANK ST NE Morgan DECATUR AL 35601,,408 BANK ST NE,Morgan,DECATUR,AL,35601,http://www.dcs.edu
GOOD HOPE ELEMENTARY,204 GOOD HOPE SCHOOL RD Cullman CULLMAN AL 35057-0120,,204 GOOD HOPE SCHOOL RD,Cullman,CULLMAN,AL,35057-0120,
Morgan County Schools,8688 DANVILLE RD Morgan Danville AL 35619-6419,,8688 DANVILLE RD,Morgan,Danville,AL,35619-6419,http://www.morganschools.net
Morgan County Schools,317 HIGHWAY 67 S Morgan Decatur AL 35603-5403,,317 HIGHWAY 67 S,Morgan,Decatur,AL,35603-5403,http://www.morganschools.net
Morgan County Schools,Highway 67 S Morgan Decatur AL 35603,,Highway 67 S,Morgan,Decatur,AL,35603,http://www.morganschools.net
Children's Health System,1600 7TH AVENUE S. Jefferson BIRMINGHAM AL 35233,,1600 7TH AVENUE S.,Jefferson,BIRMINGHAM,AL,35233,http://www.chsys.org
Bibb County High School,157 DAVIDSON DR Bibb CENTREVILLE AL 35042-2645,,157 DAVIDSON DR,Bibb,CENTREVILLE,AL,35042-2645,http://www.bibbed.org
Greene County Board of Educn,220 MAIN ST Greene EUTAW AL 35462-1002,,220 MAIN ST,Greene,EUTAW,AL,35462-1002,
St Joseph Catholic School,115 PLUM ST Lauderdale FLORENCE AL 35630,,115 PLUM ST,Lauderdale,FLORENCE,AL,35630,
West Morgan Elementary School,571 OLD HIGHWAY 24 Morgan TRINITY AL 35673,,571 OLD HIGHWAY 24,Morgan,TRINITY,AL,35673,
Boaz Intermediate School,PO BOX 721 Etowah BOAZ AL 35957-0721,,PO BOX 721,Etowah,BOAZ,AL,35957-0721,
FLORENCE CITY OF SCHOOLS FLORENCE FRESHM,541 RIVERVIEW DR Lauderdale Florence AL 35630-6024,,541 RIVERVIEW DR,Lauderdale,Florence,AL,35630-6024,
Paul's Lutheran School,510 THIRD AVENUE S.E. Cullman CULLMAN AL 35055,,510 THIRD AVENUE S.E.,Cullman,CULLMAN,AL,35055,
Morgan County Schools,59 EVA RD Morgan SOMERVILLE AL 35670-6423,,59 EVA RD,Morgan,SOMERVILLE,AL,35670-6423,http://www.morganschools.net
Northeast Alabama Community College,PO BOX 159 DeKalb Rainsville AL 35986-0159,,PO BOX 159,DeKalb,Rainsville,AL,35986-0159,
Springwood School,PO BOX 1030 Chambers LANETT AL 36863-1030,,PO BOX 1030,Chambers,LANETT,AL,36863-1030,http://www.springwoodschool.com
Jefferson County Board of Education,2100 RICHARD ARRINGTON JR BLVD S Jefferson BIRMINGHAM AL 35209-1298,,2100 RICHARD ARRINGTON JR BLVD S,Jefferson,BIRMINGHAM,AL,35209-1298,http://www.jefcoed.com
Montgomery Public Schools,307 S DECATUR ST Montgomery MONTGOMERY AL 36104-4305,,307 S DECATUR ST,Montgomery,MONTGOMERY,AL,36104-4305,http://www.mps.k12.al.us
Santa Paula Union High School District,1114 OXMOOR RD Jefferson BIRMINGHAM AL 35209-5320,,1114 OXMOOR RD,Jefferson,BIRMINGHAM,AL,35209-5320,http://www.spuhsd.k12.ca.us
Birmingham City Pub Sch Dist,2015 PARK PL Jefferson BIRMINGHAM AL 35203-2705,,2015 PARK PL,Jefferson,BIRMINGHAM,AL,35203-2705,
Berwyn South SD 100,736 BLUEWOOD DR SE Madison HUNTSVILLE AL 35802-3602,,736 BLUEWOOD DR SE,Madison,HUNTSVILLE,AL,35802-3602,
Tuscaloosa County Schools,2314 9TH ST Tuscaloosa TUSCALOOSA AL 35401-2319,,2314 9TH ST,Tuscaloosa,TUSCALOOSA,AL,35401-2319,http://www.tuscaloosa.tcs.schoolinsites.com
Lamar County School District,PO BOX 1379 Lamar VERNON AL 35592-1379,,PO BOX 1379,Lamar,VERNON,AL,35592-1379,http://www.lamar.k12.al.us
Tuscaloosa County Schools,2400 34TH AVE Tuscaloosa NORTHPORT AL 35476-3728,,2400 34TH AVE,Tuscaloosa,NORTHPORT,AL,35476-3728,http://www.tuscaloosa.tcs.schoolinsites.com
Choctaw County High School,107 Tom Orr Dr Choctaw Butler AL 36904-3504,,107 Tom Orr Dr,Choctaw,Butler,AL,36904-3504,http://www.al.localschooldirectory.com
Morgan County Schools,1325 POINT MALLARD PKWY SE Morgan DECATUR AL 35601-6542,,1325 POINT MALLARD PKWY SE,Morgan,DECATUR,AL,35601-6542,http://www.morganschools.net
Clay County of School District,PO BOX 278 Clay ASHLAND AL 36251-0278,,PO BOX 278,Clay,ASHLAND,AL,36251-0278,http://www.clayk12.org
Tuscaloosa County Schools,PO BOX 2568 Tuscaloosa TUSCALOOSA AL 35403-2568,,PO BOX 2568,Tuscaloosa,TUSCALOOSA,AL,35403-2568,http://www.tuscaloosa.tcs.schoolinsites.com
Tuscaloosa County Schools,300 PATRIOT PKWY Tuscaloosa TUSCALOOSA AL 35405-8606,,300 PATRIOT PKWY,Tuscaloosa,TUSCALOOSA,AL,35405-8606,http://www.tuscaloosa.tcs.schoolinsites.com
Children's Health System,1600 7TH AVENUE SOUTH Jefferson BIRMINGHAM AL 35233,,1600 7TH AVENUE SOUTH,Jefferson,BIRMINGHAM,AL,35233,http://www.chsys.org
Northeast Alabama Community College,P. O. BOX 159 RAINSVILLE DeKalb RAINSVILLE AL 35986,,P. O. BOX 159 RAINSVILLE,DeKalb,RAINSVILLE,AL,35986,
Children's Health System,2000 SOUTHBRIDGE PKWY Jefferson BIRMINGHAM AL 35209,,2000 SOUTHBRIDGE PKWY,Jefferson,BIRMINGHAM,AL,35209,http://www.chsys.org
Children's Health System,1940 ELMER J BISSELL RD Jefferson BIRMINGHAM AL 35243-2941,,1940 ELMER J BISSELL RD,Jefferson,BIRMINGHAM,AL,35243-2941,http://www.chsys.org
Christ The King Catholic School,1503 Main Street * Po Drawer 1890 Baldwin Daphne AL 36526,,1503 Main Street * Po Drawer 1890,Baldwin,Daphne,AL,36526,
Whitesburg Baptist Church,6806 WHITESBURG DRIVE Madison HUNTSVILLE AL 35802,,6806 WHITESBURG DRIVE,Madison,HUNTSVILLE,AL,35802,http://www.wbccares.org
St. Paul,161 DOGWOOD LN Mobile MOBILE AL 36695,,161 DOGWOOD LN,Mobile,MOBILE,AL,36695,http://www.stpaulsmobile.net
Chilton County High School,1705 LAY DAM ROAD Chilton CLANTON AL 35045,,1705 LAY DAM ROAD,Chilton,CLANTON,AL,35045,http://www.chilton.k12.al.us
Butler County Board of Education,100 BUTLER CIR Butler GREENVILLE AL 36037-1499,,100 BUTLER CIR,Butler,GREENVILLE,AL,36037-1499,
Children's Health System,1600 6TH AVE SOUTH Jefferson BIRMINGHAM AL 35233,,1600 6TH AVE SOUTH,Jefferson,BIRMINGHAM,AL,35233,http://www.chsys.org
CONECUH COUNTY,100 JACKSON ST Conecuh EVERGREEN AL 36401-2843,,100 JACKSON ST,Conecuh,EVERGREEN,AL,36401-2843,http://www.conecuhk12.com
Portland Education Partnership,7900 DICKEY SPRINGS RD Jefferson BESSEMER AL 35022-6378,,7900 DICKEY SPRINGS RD,Jefferson,BESSEMER,AL,35022-6378,http://www.portlandeducation.org
St. Paul,161 Dogwood Ln Mobile Mobile AL 36608-1398,,161 Dogwood Ln,Mobile,Mobile,AL,36608-1398,http://www.stpaulsmobile.net
Catholic High School,4810 BRADFORD DR NW Madison HUNTSVILLE AL 35805,,4810 BRADFORD DR NW,Madison,HUNTSVILLE,AL,35805,http://www.chsfalcons.org
Randolph School,1005 DRAKE AVE SE Madison HUNTSVILLE AL 35802,,1005 DRAKE AVE SE,Madison,HUNTSVILLE,AL,35802,
Florence City Schools,1201 Bradshaw Dr Lauderdale Florence AL 35630,,1201 Bradshaw Dr,Lauderdale,Florence,AL,35630,http://www.fcs.k12.al.us
Children's Health System,1600 Seventh Avenue South Jefferson Birmingham AL 35233,,1600 Seventh Avenue South,Jefferson,Birmingham,AL,35233,http://www.chsys.org
Chilton County High School,1214 7TH ST S Chilton CLANTON AL 35045-3724,,1214 7TH ST S,Chilton,CLANTON,AL,35045-3724,http://www.chilton.k12.al.us
Creekside Elementary School,16049 SANDERSON ROAD Madison HARVEST AL 35749,,16049 SANDERSON ROAD,Madison,HARVEST,AL,35749,http://www.creeksideelem.org
Homewood Middle School,395 Mecca Avenue Jefferson Homewood AL 35209,,395 Mecca Avenue,Jefferson,Homewood,AL,35209,
Litchfield High School,1109 East Broad Street Etowah Gadsden AL 35903,,1109 East Broad Street,Etowah,Gadsden,AL,35903,
Homewood Middle School,213 Hall Ave Jefferson Homewood AL 35209,,213 Hall Ave,Jefferson,Homewood,AL,35209,
Homewood Middle School,901 College Avenue Jefferson Homewood AL 35209,,901 College Avenue,Jefferson,Homewood,AL,35209,
Talladega City Schools,PO Box 946 Talladega Talladega AL 35161-0946,,PO Box 946,Talladega,Talladega,AL,35161-0946,
Children's Health System,1600 7Th Ave Jefferson Birmingham AL 35233,,1600 7Th Ave,Jefferson,Birmingham,AL,35233,http://www.chsys.org
St Lukes Episcopal School,3975 JAPONICA LN. Mobile MOBILE AL 36693,,3975 JAPONICA LN.,Mobile,MOBILE,AL,36693,http://www.sles.cc
Sylacauga City Board of Education,605 W 4th St Clay Sylacauga AL 35150-1941,,605 W 4th St,Clay,Sylacauga,AL,35150-1941,
St James Catholic School,700 ALBERT RAINS BLVD Etowah GADSDEN AL 35901-2564,,700 ALBERT RAINS BLVD,Etowah,GADSDEN,AL,35901-2564,http://www.stjamesgadsden.org
St. Bernard Preparatory School,1600 SAINT BERNARD AVE SE Cullman CULLMAN AL 35055-3057,,1600 SAINT BERNARD AVE SE,Cullman,CULLMAN,AL,35055-3057,http://www.stbernardprep.com
Hartselle City Schools,305 COLLEGE ST NE Morgan Hartselle AL 35640-1938,,305 COLLEGE ST NE,Morgan,Hartselle,AL,35640-1938,
John Carroll Catholic High School,300 Lakeshore Pkwy Jefferson Birmingham AL 35209-7114,,300 Lakeshore Pkwy,Jefferson,Birmingham,AL,35209-7114,http://www.jcchs.org
Hartselle City Schools,600 CRESTLINE DR SW Morgan HARTSELLE AL 35640,,600 CRESTLINE DR SW,Morgan,HARTSELLE,AL,35640,
Decatur Heritage Academy,2014 SANDLIN RD SW Morgan DECATUR AL 35601-5828,,2014 SANDLIN RD SW,Morgan,DECATUR,AL,35601-5828,
W F Burns Junior High School,502 BOULEVARD Chambers Valley AL 36854-4853,,502 BOULEVARD,Chambers,Valley,AL,36854-4853,http://www.chambersk12.org
Hale County High School,PO BOX 48 Hale Akron AL 35441-0048,,PO BOX 48,Hale,Akron,AL,35441-0048,
LGS Recreation,2868 COUNTY ROAD 1678 Cullman CULLMAN AL 35058-6960,,2868 COUNTY ROAD 1678,Cullman,CULLMAN,AL,35058-6960,http://www.lgsrecreation.org
Davis Joint Unified School District,402 OAK ST NE Morgan DECATUR AL 35601-1832,,402 OAK ST NE,Morgan,DECATUR,AL,35601-1832,http://www.djusd.k12.ca.us
John Carroll Catholic High School,300 LAKESHORE PKWY Jefferson BIRMINGHAM AL 35209-7114,,300 LAKESHORE PKWY,Jefferson,BIRMINGHAM,AL,35209-7114,
Decatur Heritage Academy,3802 SPINGS AVE SW Morgan DECATUR AL 35699,,3802 SPINGS AVE SW,Morgan,DECATUR,AL,35699,
Decatur Heritage Academy,PO BOX 5659 Morgan Decatur AL 35601-0659,,PO BOX 5659,Morgan,Decatur,AL,35601-0659,
Decatur Heritage Academy,2014 SANDLIN ROAD SOUTHWEST Morgan DECATUR AL 35601,,2014 SANDLIN ROAD SOUTHWEST,Morgan,DECATUR,AL,35601,
Hartselle City Schools,305 COLLEGE STREET NE Morgan HARTSELLE AL 35640,,305 COLLEGE STREET NE,Morgan,HARTSELLE,AL,35640,
Cleburne Co Elementary School,93 EDUCATION ST Cleburne HEFLIN AL 36264-2207,,93 EDUCATION ST,Cleburne,HEFLIN,AL,36264-2207,
Decatur Heritage Academy,P.O. BOX 5659 Morgan DECATUR AL 35601,,P.O. BOX 5659,Morgan,DECATUR,AL,35601,
W F Burns Junior High School,10180 COUNTY ROAD 222 Chambers FIVE POINTS AL 36855,,10180 COUNTY ROAD 222,Chambers,FIVE POINTS,AL,36855,http://www.chambersk12.org
East Elementary School,608 4Th Ave SE Cullman Cullman AL 35055-4397,,608 4Th Ave SE,Cullman,Cullman,AL,35055-4397,http://www.ees.cullmancats.net
Cullman High School,301 1ST ST NE STE 100 Cullman Cullman AL 35055-3549,,301 1ST ST NE STE 100,Cullman,Cullman,AL,35055-3549,http://www.chs.cullmancats.net
W F Burns Junior High School,292 JOHNSON ST Chambers VALLEY AL 36854-4555,,292 JOHNSON ST,Chambers,VALLEY,AL,36854-4555,http://www.chambersk12.org
Tarrant High School,830 JEFFERSON BLVD Jefferson Birmingham AL 35217-3019,,830 JEFFERSON BLVD,Jefferson,Birmingham,AL,35217-3019,http://www.tarrant.k12.al.us
Opelika City Schools,8 MORRIS AVE Lee Opelika AL 36801-2510,,8 MORRIS AVE,Lee,Opelika,AL,36801-2510,http://www.opelikaschools.org
Hale County High School,537 ALABAMA AVE Hale Moundville AL 35474-4005,,537 ALABAMA AVE,Hale,Moundville,AL,35474-4005,
Hale County High School,PO BOX 38 Hale Akron AL 35441-0038,,PO BOX 38,Hale,Akron,AL,35441-0038,
Hale County High School,1801 SOUTH ST Hale Greensboro AL 36744-1408,,1801 SOUTH ST,Hale,Greensboro,AL,36744-1408,
Mcgill-Toolen High School (Inc),1501 OLD SHELL RD. Mobile MOBILE AL 36604,,1501 OLD SHELL RD.,Mobile,MOBILE,AL,36604,http://www.mcgill-toolen.org
Hale County High School,1115 Powers St Hale Greensboro AL 36744-1219,,1115 Powers St,Hale,Greensboro,AL,36744-1219,
Text and Academic Authors Association,1 HARRISON PLZ Lauderdale FLORENCE AL 35632,,1 HARRISON PLZ,Lauderdale,FLORENCE,AL,35632,http://www.textbookprofessionals.com
St. Bernard Preparatory School,1600 ST. BERNARD DRIVE SE Cullman CULLMAN AL 35055,,1600 ST. BERNARD DRIVE SE,Cullman,CULLMAN,AL,35055,http://www.stbernardprep.com
Mcgill-Toolen High School (Inc),1501 OLD SHELL ROAD Mobile MOBILE AL 36604,,1501 OLD SHELL ROAD,Mobile,MOBILE,AL,36604,http://www.mcgill-toolen.org
Decatur Heritage Academy,3802 SPRING AVENUE SW Morgan DECATUR AL 35601,,3802 SPRING AVENUE SW,Morgan,DECATUR,AL,35601,
Decatur Heritage Academy,3802 SPRING AVENUE SW Morgan DECATUR AL 35603,,3802 SPRING AVENUE SW,Morgan,DECATUR,AL,35603,
Sheffield City School District,300 W 6th St Colbert Sheffield AL 35660-2802,,300 W 6th St,Colbert,Sheffield,AL,35660-2802,http://www.scs.k12.al.us
Text and Academic Authors Association,Una Box 5171 Lauderdale Florence AL 35632-0001,,Una Box 5171,Lauderdale,Florence,AL,35632-0001,http://www.textbookprofessionals.com
Hale County High School,P.O. Drawer 188 - 50 Wildcat Way Hale Moundville AL 35474,,P.O. Drawer 188 - 50 Wildcat Way,Hale,Moundville,AL,35474,
Hale County High School,3125 COUNTY ROAD 10 Hale Newbern AL 36765-3314,,3125 COUNTY ROAD 10,Hale,Newbern,AL,36765-3314,
Barbour County High School,PO BOX 429 Barbour CLAYTON AL 36016-0429,,PO BOX 429,Barbour,CLAYTON,AL,36016-0429,http://www.barbourschools.org
Hale County High School,PO BOX 517 Hale GREENSBORO AL 36744-0517,,PO BOX 517,Hale,GREENSBORO,AL,36744-0517,
John Carroll Catholic High School,300 Lakeshore Pkwy Jefferson Birmingham AL 35209,,300 Lakeshore Pkwy,Jefferson,Birmingham,AL,35209,http://www.jcchs.org
West End High School,1840 PEARSON AVENUE SW Jefferson BIRMINGHAM AL 35211,,1840 PEARSON AVENUE SW,Jefferson,BIRMINGHAM,AL,35211,http://www.bhamcityschools.org
Tarrant High School,1318 Alabama St Jefferson Tarrant AL 35217,,1318 Alabama St,Jefferson,Tarrant,AL,35217,http://www.tarrant.k12.al.us
Sheffield City School District,2800 E 19th Ave Colbert Sheffield AL 35660,,2800 E 19th Ave,Colbert,Sheffield,AL,35660,http://www.scs.k12.al.us
Learning Tree,6344 ROY WEBB RD Calhoun PIEDMONT AL 36272,,6344 ROY WEBB RD,Calhoun,PIEDMONT,AL,36272,
Alabama Avenue Middle School,901 W McKinney Ave Marshall Albertville AL 35950-1300,,901 W McKinney Ave,Marshall,Albertville,AL,35950-1300,http://www.albertk12.org
Opelika City Schools,2801 WAVERLY PKWY Lee Opelika AL 36801-3310,,2801 WAVERLY PKWY,Lee,Opelika,AL,36801-3310,http://www.opelikaschools.org
Athens City Schools,219 CHRISTINE STREET Limestone ATHENS AL 35611,,219 CHRISTINE STREET,Limestone,ATHENS,AL,35611,http://www.ci.athens.al.us
Holy Spirit Catholic Preschool,711 37TH ST E Tuscaloosa TUSCALOOSA AL 35405-3199,,711 37TH ST E,Tuscaloosa,TUSCALOOSA,AL,35405-3199,http://www.holyspirit-al.com
Donoho School,2501 HENRY ROAD Calhoun ANNISTON AL 36207,,2501 HENRY ROAD,Calhoun,ANNISTON,AL,36207,http://www.donohoschool.com
UMS-Wright Preparatory School,65 N. Mobile Street Mobile Mobile AL 36607,,65 N. Mobile Street,Mobile,Mobile,AL,36607,http://www.ums-wright.org
Text and Academic Authors Association,1 HARRISON PLZ Lauderdale FLORENCE AL 35632-0002,,1 HARRISON PLZ,Lauderdale,FLORENCE,AL,35632-0002,http://www.textbookprofessionals.com
Text and Academic Authors Association,202 GUILLOT UNIVERSITY CENTER Lauderdale FLORENCE AL 35632,,202 GUILLOT UNIVERSITY CENTER,Lauderdale,FLORENCE,AL,35632,http://www.textbookprofessionals.com
Sheffield City School District,2800 19TH AVENUE Colbert SHEFFIELD AL 35660,,2800 19TH AVENUE,Colbert,SHEFFIELD,AL,35660,http://www.scs.k12.al.us
St. Bernard Preparatory School,1600 SAINT BERNARD AVE SE Cullman CULLMAN AL 35055,,1600 SAINT BERNARD AVE SE,Cullman,CULLMAN,AL,35055,http://www.stbernardprep.com
W F Burns Junior High School,202 1ST AVE SE Chambers LAFAYETTE AL 36862-2102,,202 1ST AVE SE,Chambers,LAFAYETTE,AL,36862-2102,http://www.chambersk12.org
Trinity Presbyterian School,1700 E Trinity Blvd Montgomery Montgomery AL 36106-2810,,1700 E Trinity Blvd,Montgomery,Montgomery,AL,36106-2810,http://www.trinitywildcats.com
